0.121: [GC 0.121: [DefNew: 3909K->1K(4928K), 0.0000318 secs] 4081K->172K(15872K), 0.0000428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.122: [GC 0.122: [DefNew: 3909K->1K(4928K), 0.0000322 secs] 4081K->172K(15872K), 0.0000431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.122: [GC 0.122: [DefNew: 3909K->1K(4928K), 0.0000342 secs] 4081K->172K(15872K), 0.0000452 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.122: [GC 0.122: [DefNew: 3909K->1K(4928K), 0.0000322 secs] 4081K->173K(15872K), 0.0000431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.123: [GC 0.123: [DefNew: 3909K->1K(4928K), 0.0000363 secs] 4081K->173K(15872K), 0.0000479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.123: [GC 0.123: [DefNew: 3909K->1K(4928K), 0.0000352 secs] 4081K->173K(15872K), 0.0000479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.124: [GC 0.124: [DefNew: 3909K->0K(4928K), 0.0000356 secs] 4081K->173K(15872K), 0.0000472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.124: [GC 0.124: [DefNew: 3909K->0K(4928K), 0.0000311 secs] 4081K->173K(15872K), 0.0000421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.125: [GC 0.125: [DefNew: 3909K->0K(4928K), 0.0000407 secs] 4081K->173K(15872K), 0.0000523 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.125: [GC 0.125: [DefNew: 3909K->0K(4928K), 0.0000629 secs] 4081K->173K(15872K), 0.0000777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.126: [GC 0.126: [DefNew: 3909K->0K(4928K), 0.0000797 secs] 4081K->173K(15872K), 0.0000941 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.126: [GC 0.126: [DefNew: 3909K->0K(4928K), 0.0000513 secs] 4081K->173K(15872K), 0.0000708 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.127: [GC 0.127: [DefNew: 3909K->0K(4928K), 0.0000411 secs] 4081K->173K(15872K), 0.0000554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.127: [GC 0.127: [DefNew: 3909K->0K(4928K), 0.0000342 secs] 4081K->173K(15872K), 0.0000455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.128: [GC 0.128: [DefNew: 3909K->0K(4928K), 0.0000322 secs] 4081K->173K(15872K), 0.0000434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.128: [GC 0.128: [DefNew: 3909K->0K(4928K), 0.0000311 secs] 4081K->173K(15872K), 0.0000424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.129: [GC 0.129: [DefNew: 3909K->0K(4928K), 0.0000318 secs] 4081K->173K(15872K), 0.0000434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.129: [GC 0.129: [DefNew: 3909K->0K(4928K), 0.0000342 secs] 4081K->173K(15872K), 0.0000458 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.130: [GC 0.130: [DefNew: 3909K->0K(4928K), 0.0000318 secs] 4081K->173K(15872K), 0.0000431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.130: [GC 0.130: [DefNew: 3909K->0K(4928K), 0.0000308 secs] 4082K->173K(15872K), 0.0000417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.131: [GC 0.131: [DefNew: 3909K->0K(4928K), 0.0000315 secs] 4082K->173K(15872K), 0.0000428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.131: [GC 0.131: [DefNew: 3909K->0K(4928K), 0.0000298 secs] 4082K->173K(15872K), 0.0000407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.131: [GC 0.131: [DefNew: 3909K->0K(4928K), 0.0000356 secs] 4082K->173K(15872K), 0.0000479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.132: [GC 0.132: [DefNew: 3909K->0K(4928K), 0.0000448 secs] 4082K->173K(15872K), 0.0000595 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.133: [GC 0.133: [DefNew: 3909K->0K(4928K), 0.0000346 secs] 4082K->174K(15872K), 0.0000455 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.133: [GC 0.133: [DefNew: 3909K->0K(4928K), 0.0000308 secs] 4082K->174K(15872K), 0.0000414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.133: [GC 0.133: [DefNew: 3909K->0K(4928K), 0.0000308 secs] 4082K->174K(15872K), 0.0000417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.134: [GC 0.134: [DefNew: 3909K->0K(4928K), 0.0000308 secs] 4082K->174K(15872K), 0.0000414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.134: [GC 0.134: [DefNew: 3909K->0K(4928K), 0.0000298 secs] 4082K->174K(15872K), 0.0000407 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
